Old Lviv Restaurant, OPERATIONAL, 2228 West Chicago Avenue, Chicago, 1, 4.6, No ratings 41.8959303, -87.683171
El Gallo Bravo, OPERATIONAL, 1429 West Montrose Avenue, Chicago, 1, 4.1, No ratings 41.961299, -87.6662832
Farmer's Fridge, OPERATIONAL, Located on the mezzanine level of the Adult Emergency Room, 5656 South Maryland Avenue, Chicago, Price information not available, No rating, No ratings 41.79153, -87.60526
Bell Heir's BBQ, OPERATIONAL, 704 West 47th Street, Chicago, 2, 4.2, No ratings 41.809064, -87.6434404
ServedIN Kitchen @ Axis, OPERATIONAL, 446 East Ontario Street, Chicago, Price information not available, No rating, No ratings 41.8936371, -87.6164321
MiMi's Craft Kitchen, OPERATIONAL, 1352 West Taylor Street, Chicago, 2, 4.7, No ratings 41.86946299999999, -87.6611008
Dunkin', OPERATIONAL, 1117 West Granville Avenue, Chicago, 1, 3.8, No ratings 41.9938608, -87.6590871
Papa Johns Pizza, OPERATIONAL, 1418 East 53rd Street, Chicago, 1, 3, No ratings 41.8000104, -87.5911665
AMP Social (All Meal Prep) | Restaurant | Cafe | Bar, OPERATIONAL, 1100 West Bryn Mawr Avenue, Chicago, 2, 4.7, No ratings 41.98394809999999, -87.65823879999999
Subway, OPERATIONAL, 511 North McClurg Court, Chicago, 1, 3.8, No ratings 41.8914813, -87.6173754
McDonald's, OPERATIONAL, 6740 North Clark Street, Chicago, 1, 3.6, No ratings 42.0048278, -87.6731401
Franklin Tap, OPERATIONAL, 325 South Franklin Street, Chicago, 2, 4.3, No ratings 41.8773351, -87.63495549999999
Kimski, OPERATIONAL, 954-960 West 31st Street, Chicago, 2, 4.4, No ratings 41.83815070000001, -87.65096439999999
Reggies Chicago, OPERATIONAL, 2105 South State Street, Chicago, 1, 4.5, No ratings 41.853918, -87.6268523
Emerald Loop Bar & Grill, OPERATIONAL, 216 North Wabash Avenue, Chicago, 2, 4.2, No ratings 41.88637019999999, -87.6265311
Minghin Cuisine, OPERATIONAL, 1234 South Michigan Avenue, Chicago, 2, 4.4, No ratings 41.866506, -87.62433399999999
Riccardo Trattoria, OPERATIONAL, 2119 North Clark Street, Chicago, 3, 4.6, No ratings 41.9207132, -87.6373997
World Good Noodle Inc., OPERATIONAL, 2522 South Halsted Street, Chicago, Price information not available, No rating, No ratings 41.8463975, -87.6465949
Cafe Robey, OPERATIONAL, 1600 North Milwaukee Avenue, Chicago, 2, 4.5, No ratings 41.9106629, -87.67812339999999
Hamburger Stan, OPERATIONAL, 831 North Sedgwick Street, Chicago, 2, 2.7, No ratings 41.89735429999999, -87.6385033
270 Degrees Restaurant, OPERATIONAL, 2301 South Indiana Avenue, Chicago, Price information not available, 4.4, No ratings 41.8507784, -87.62137609999999
Nepal House, OPERATIONAL, 1301 South Michigan Avenue, Chicago, 2, 4.5, No ratings 41.8656858, -87.6239061
Starbucks, OPERATIONAL, 3358 North Broadway, Chicago, 2, 4.1, No ratings 41.9435714, -87.6450926
Dunkin', OPERATIONAL, 3000 North Ashland Avenue, Chicago, 1, 3.9, No ratings 41.9362081, -87.6688381
Diner Grill, OPERATIONAL, 1635 West Irving Park Road, Chicago, 1, 4.5, No ratings 41.9541179, -87.6705083
LP’s T.A.P. House, OPERATIONAL, 2251 North Lincoln Avenue, Chicago, 2, 4, No ratings 41.9231633, -87.64535099999999
Daniels concession, OPERATIONAL, Chicago, Price information not available, 3.7, No ratings 41.9664829, -87.640391
Gino’s East - South Loop, CLOSED_TEMPORARILY, 521 South Dearborn Street, Chicago, 2, 4.3, No ratings 41.8752335, -87.6289845
Dublin's Bar & Grill, OPERATIONAL, 1050 North State Street, Chicago, 2, 4.1, No ratings 41.9016667, -87.6286111
Mikey B Hot Dogs, OPERATIONAL, 4914 South Halsted Street, Chicago, Price information not available, No rating, No ratings 41.8046867, -87.64581319999999
Taqueria El Milagro, OPERATIONAL, 1923 South Blue Island Avenue, Chicago, 1, 4.6, No ratings 41.8553924, -87.66305709999999
Elaine Lee, OPERATIONAL, 1371A East 53rd Street, Chicago, Price information not available, No rating, No ratings 41.7992821, -87.59238429999999
La Palapa, OPERATIONAL, 2000 West 34th Street, Chicago, 2, 4, No ratings 41.83242699999999, -87.675546
Su Casa Mexican Restaurant, OPERATIONAL, 49 East Ontario Street, Chicago, 2, 3.9, No ratings 41.8931091, -87.6261703
Lincoln Station, CLOSED_TEMPORARILY, 2432 North Lincoln Avenue, Chicago, 1, 4.5, No ratings 41.9261163, -87.65000289999999
Breakfast House Uptown, OPERATIONAL, 1020 West Lawrence Avenue, Chicago, 2, 4.7, No ratings 41.969204, -87.6558063
Ferrara Bakery, OPERATIONAL, 2210 West Taylor Street, Chicago, 1, 4.6, No ratings 41.869241, -87.6816051
Cescas Margarita Bar & Grill "CMBG", OPERATIONAL, 5403 North Clark Street, Chicago, 2, 4.2, No ratings 41.9800139, -87.668105
Cosmic Cafe, OPERATIONAL, 1300 South Lake Shore Drive, Chicago, Price information not available, 4.2, No ratings 41.86667419999999, -87.6065939
Little Wok, OPERATIONAL, 103 East 51st Street, Chicago, 1, 3.5, No ratings 41.8016865, -87.6222897
Yummy tummy, CLOSED_TEMPORARILY, 6141 North Broadway, Chicago, 2, 4.6, No ratings 41.9935191, -87.6600634
Koto Hibachi, OPERATIONAL, 258 West 31st Street, Chicago, 1, 4.4, No ratings 41.8383447, -87.6339569
Nohea Cafe, OPERATIONAL, 1312 West Madison Street, Chicago, 2, 4.4, No ratings 41.88170299999999, -87.660405
McDonald's, OPERATIONAL, 645 North McClurg Court, Chicago, 1, 3.7, No ratings 41.893979, -87.617628
Moe's Cantina - Wrigleyville, OPERATIONAL, 3518 North Clark Street, Chicago, 2, 3.5, No ratings 41.9460969, -87.6559027
Victoria's Sweets & Eats Catering and Events, CLOSED_TEMPORARILY, 2422 West Roosevelt Road, Chicago, Price information not available, 3, No ratings 41.8668172, -87.6870186
TBaar - Bubble Tea, Fresh Juice, Sandwich & More!, OPERATIONAL, 1223 West Devon Avenue, Chicago, 1, 4.5, No ratings 41.9980969, -87.66156989999999
Joe's Grill Original #1, OPERATIONAL, 1156 West 51st Street, Chicago, Price information not available, 4.7, No ratings 41.8016356, -87.6548376
Palace Grill Restaurant, CLOSED_TEMPORARILY, 1408 West Madison Street, Chicago, 1, 4.6, No ratings 41.881674, -87.6625013
Corey's NYC Bagel Deli, OPERATIONAL, 1001 West North Avenue, Chicago, 2, 4.4, No ratings 41.9104317, -87.65346339999999
Kitsch'n on Roscoe, OPERATIONAL, 2005 West Roscoe Street, Chicago, 2, 4.5, No ratings 41.9430052, -87.6787866
Mariscos Blue Marlin Mexican Cuisine, CLOSED_TEMPORARILY, 3207 South Halsted Street, Chicago, Price information not available, 4.1, No ratings 41.83592040000001, -87.6458896
Nando's PERi-PERi, OPERATIONAL, 953 West Randolph Street, Chicago, 2, 4.4, No ratings 41.8840371, -87.6517382
Señoritas Cantina, OPERATIONAL, 1104 West 18th Street, Chicago, 2, 4.3, No ratings 41.85812749999999, -87.6537044
Cafe Hoang | Vietnamese & Thai, OPERATIONAL, 1065 West Argyle Street, Chicago, 1, 4.4, No ratings 41.9731221, -87.6574066
Usmania Fine Dining, OPERATIONAL, 2244 West Devon Avenue, Chicago, 2, 4, No ratings 41.9980925, -87.686887
Subway, OPERATIONAL, 2357 West Fullerton Avenue, Chicago, 1, 4, No ratings 41.9246095, -87.687071
Farmer's Fridge, OPERATIONAL, Located in the Vendeteria, 1116 North Larrabee Street, Chicago, Price information not available, No rating, No ratings 41.902051, -87.643524
Palmita, OPERATIONAL, 850 West Superior Street, Chicago, Price information not available, 4.8, No ratings 41.89573499999999, -87.64965199999999
La Vaca Margarita Bar, OPERATIONAL, 1160 West 18th Street, Chicago, 2, 3.9, No ratings 41.85817309999999, -87.6557236
BellyBowl Kitchen & Lounge, OPERATIONAL, 3034 South Halsted Street, Chicago, 1, 4.5, No ratings 41.8386889, -87.6465873
Enoteca Roma, OPERATIONAL, 2146 West Division Street, Chicago, 2, 4.5, No ratings 41.90331799999999, -87.681584
Ben's Noodles & Rice, OPERATIONAL, 1139 West Bryn Mawr Avenue, Chicago, 1, 4.6, No ratings 41.98349179999999, -87.65958859999999
Bunch of Dumplings, CLOSED_TEMPORARILY, 850 West Superior Street, Chicago, Price information not available, No rating, No ratings 41.89573499999999, -87.64965199999999
Doll's Kitchen And Catering, OPERATIONAL, 1014 South Western Avenue, Chicago, 2, 4.5, No ratings 41.8687257, -87.6865608
Olive Mediterranean Grill, OPERATIONAL, 1001 West North Avenue, Chicago, 1, 4.2, No ratings 41.9103736, -87.65340839999999
Yvolina's Tamales, OPERATIONAL, 814 West 18th Street, Chicago, 1, 4.6, No ratings 41.858234, -87.6472711
Kimura, OPERATIONAL, 1422 West Taylor Street, Chicago, 2, 4.1, No ratings 41.8694832, -87.6626256
Regalia bar & restaurant, OPERATIONAL, 5959 North Broadway, Chicago, 2, 4.8, No ratings 41.9906259, -87.6600204
mfk. Restaurant, OPERATIONAL, 432 West Diversey Parkway, Chicago, 2, 4.7, No ratings 41.9329879, -87.6406981
Carniceria Maribel, OPERATIONAL, 1801 West Cermak Road, Chicago, 1, 4.7, No ratings 41.85214850000001, -87.6711279
El Mariachi Restaurant, OPERATIONAL, 3420 North Broadway, Chicago, 2, 4.5, No ratings 41.9438354, -87.64541439999999
Stan's Donuts & Coffee, OPERATIONAL, 26 East Roosevelt Road, Chicago, 2, 4.4, No ratings 41.86762960000001, -87.6264412
Boka, OPERATIONAL, 1729 North Halsted Street, Chicago, 4, 4.7, No ratings 41.9135551, -87.6480103
First Slice Pie Cafe, OPERATIONAL, 5357 North Ashland Avenue STE 1R, Chicago, 1, 4.7, No ratings 41.9796979, -87.6694885
CHARRED | Wing Bar, OPERATIONAL, 1150 South Michigan Avenue, Chicago, 2, 2.8, No ratings 41.86784729999999, -87.6244181
The Drifter, OPERATIONAL, 676-8 North Orleans Street, Chicago, 3, 4.5, No ratings 41.8945627, -87.6374065
Gyu-Kaku Japanese BBQ, OPERATIONAL, 1364 West Randolph Street, Chicago, 2, 4.5, No ratings 41.88448400000001, -87.6614046
Girl & The Goat, OPERATIONAL, 809 West Randolph Street, Chicago, 3, 4.7, No ratings 41.8841279, -87.6479354
Mo's Asian Bistro, OPERATIONAL, 1353 West Fullerton Avenue, Chicago, 2, 4.3, No ratings 41.92491740000001, -87.6625598
Siam Country, OPERATIONAL, 4637 North Damen Avenue, Chicago, 2, 4.5, No ratings 41.9662255, -87.67894369999999
Kanela Breakfast Club, OPERATIONAL, 1549 North Wells Street, Chicago, 2, 4.2, No ratings 41.91059399999999, -87.634427
La Lagartija Taqueria, OPERATIONAL, 132 South Ashland Avenue, Chicago, 2, 3.8, No ratings 41.8792901, -87.6669301
Huaraches Doña Chio, OPERATIONAL, 1547 West Elmdale Avenue, Chicago, 1, 4.3, No ratings 41.9907033, -87.66948119999999
The Honey Baked Ham Company, OPERATIONAL, 2815 North Ashland Avenue, Chicago, 2, 4.6, No ratings 41.9329378, -87.66781069999999
Taste of Peru, OPERATIONAL, 6545 North Clark Street, Chicago, 2, 4.4, No ratings 42.0013232, -87.6712749
The Duck Inn, OPERATIONAL, 2701 South Eleanor Street, Chicago, 3, 4.6, No ratings 41.8444845, -87.66016839999999
Chipotle Mexican Grill, OPERATIONAL, 525 West Monroe Street L1A, Chicago, 1, 3.8, No ratings 41.880364, -87.64086859999999
ஒமான், OPERATIONAL, Unnamed Road, Chicago, Price information not available, No rating, No ratings 41.8975186, -87.6439781
Chilam Balam, OPERATIONAL, 3023 North Broadway, Chicago, 2, 4.5, No ratings 41.9372342, -87.64407109999999
Dock's, OPERATIONAL, 321 East 35th Street, Chicago, 2, 4, No ratings 41.8309528, -87.6182603
Gage's Deli, OPERATIONAL, 1463 West Leland Avenue, Chicago, 2, 5, No ratings 41.9669593, -87.66657029999999
Chick-fil-A, OPERATIONAL, 1910 West Fullerton Avenue, Chicago, 1, 4.3, No ratings 41.92532419999999, -87.6763819
Aloha Eats, OPERATIONAL, 2534 North Clark Street, Chicago, 1, 4.6, No ratings 41.9287543, -87.6425373
El Sauz Taqueria, OPERATIONAL, 2000 West 51st Street, Chicago, 2, 4.1, No ratings 41.8014169, -87.6747269
Wake N Bakery Lakeview, OPERATIONAL, 3508 North Broadway, Chicago, 1, 4.7, No ratings 41.9457749, -87.6464779
Mario's Backyard EATS, OPERATIONAL, East 55th Street, Chicago, Price information not available, 4, No ratings 41.7952179, -87.5967137
Goodwin's Restaurants, OPERATIONAL, 333 West Wacker Drive Lobby, West Lake Street, Chicago, 2, 4.5, No ratings 41.886053, -87.6359543
F. O'Mahony's, OPERATIONAL, 3701 North Broadway, Chicago, 1, 4.5, No ratings 41.9493495, -87.6482784
Red Snapper Hyde Park, OPERATIONAL, 1418 East 53rd Street, Chicago, 1, 4, No ratings 41.799916, -87.5911589
Skylark, OPERATIONAL, 2149 South Halsted Street, Chicago, 1, 4.6, No ratings 41.8527778, -87.64638889999999
Busy Burger, OPERATIONAL, 1120 West Taylor Street, Chicago, 1, 4.4, No ratings 41.869581, -87.6551533
Dimo's Pizza Wicker Park, OPERATIONAL, 1615 North Damen Avenue, Chicago, 1, 4.5, No ratings 41.9110152, -87.67714169999999
Papa Johns Pizza, OPERATIONAL, 5359 North Broadway, Chicago, 1, 3, No ratings 41.9798519, -87.6596441
Chikis, OPERATIONAL, 6621 North Clark Street, Chicago, 1, 4.3, No ratings 42.002355, -87.67185350000001
The Graystone Tavern, OPERATIONAL, 3441 North Sheffield Avenue, Chicago, 2, 4.5, No ratings 41.9447886, -87.6540066
Subway, OPERATIONAL, 4019 North Lincoln Avenue, Chicago, 1, 2.2, No ratings 41.9548552, -87.6789853
5411 Empanadas | Wicker Park, OPERATIONAL, 2045 West North Avenue, Chicago, 1, 4.4, No ratings 41.91030420000001, -87.679283
THE BAR 10 DOORS, OPERATIONAL, 1251 West Taylor Street, Chicago, 1, 4.2, No ratings 41.86923230000001, -87.6588631
Dockside Delivery, OPERATIONAL, 67 East Cermak Road, Chicago, Price information not available, 5, No ratings 41.85264469999999, -87.6244042
Brownville Club House, OPERATIONAL, 3847 South Giles Avenue, Chicago, Price information not available, 4.3, No ratings 41.8242236, -87.61893440000001
Tamales garibay, OPERATIONAL, 601 East Grand Avenue, Chicago, Price information not available, No rating, No ratings 41.8912349, -87.60129219999999
The Sit Down Cafe & Sushi Bar, OPERATIONAL, 1312 East 53rd Street, Chicago, 2, 4.3, No ratings 41.7996239, -87.594447
Zig Zag Kitchen, OPERATIONAL, 1733 North Halsted Street, Chicago, 2, 4.4, No ratings 41.9137028, -87.64811309999999
The Country Club, OPERATIONAL, 3462 North Clark Street, Chicago, 1, 4.4, No ratings 41.9450836, -87.6549758
Kelly's Tavern, OPERATIONAL, 4403 South Wallace Street, Chicago, 1, 4.2, No ratings 41.8142659, -87.6405855
Dim Sum House, OPERATIONAL, 2610 South Wentworth Avenue, Chicago, Price information not available, 4.4, No ratings 41.84511509999999, -87.632094
Le Sud Mediterranean Kitchen, OPERATIONAL, 2301 West Roscoe Street, Chicago, 2, 4.6, No ratings 41.942847, -87.6858752
Tastie's 'On The Beach, CLOSED_TEMPORARILY, Oakwood Beach, 4100 South Lake Shore Drive #39th, Chicago, 1, 5, No ratings 41.82092079999999, -87.59626829999999
D&D brothers Hibachi&Big Boss Spicy Fried Chicken, OPERATIONAL, 2520 South Halsted Street, Chicago, 2, 4.3, No ratings 41.8464821, -87.6467369
Tuscan Hen Market, OPERATIONAL, 4019 North Damen Avenue, Chicago, 2, 4.6, No ratings 41.9548467, -87.67851879999999
Tony's Carryout, OPERATIONAL, 101 East 47th Street, Chicago, Price information not available, 4.4, No ratings 41.8091781, -87.6226313
Downtowner, OPERATIONAL, 2228 West Chicago Avenue, Chicago, Price information not available, No rating, No ratings 41.8960651, -87.6831796
Joker's Cajun Smokehouse, OPERATIONAL, 2416 West Schubert Avenue, Chicago, 2, 3.9, No ratings 41.9304836, -87.68871659999999
Gibsons Bar & Steakhouse, OPERATIONAL, 1028 North Rush Street, Chicago, 4, 4.6, No ratings 41.90139609999999, -87.62808609999999
Le Colonial Chicago, OPERATIONAL, 57 East Oak Street, Chicago, 3, 4.5, No ratings 41.90052269999999, -87.6260999
Jimmy John's, OPERATIONAL, 721 South Seeley Avenue, Chicago, 1, 3.9, No ratings 41.8725739, -87.67710290000001
Gio's Bar & Grill, OPERATIONAL, 4857 North Damen Avenue, Chicago, 1, 4.2, No ratings 41.97044169999999, -87.6790306
EL TRAGON TAQUERIA, OPERATIONAL, Gas Station Plaza, 1234 N Halsted St UNIT C Mobil, Chicago, 2, 4.7, No ratings 41.9046922, -87.6486153
Jimmy John's, OPERATIONAL, 2048 West Division Street, Chicago, 1, 3.5, No ratings 41.9033165, -87.6791385
Falafel & Grill, OPERATIONAL, 1317 North Milwaukee Avenue, Chicago, 1, 4.6, No ratings 41.905878, -87.67016
Roti Mediterranean Bowls. Salads. Pitas., OPERATIONAL, 1526 East 53rd Street, Chicago, 1, 4.3, No ratings 41.7996884, -87.58790959999999
Kai Sushi, OPERATIONAL, 3819 North Southport Avenue, Chicago, 2, 4.6, No ratings 41.9513437, -87.66396519999999
Seven's Take Out, OPERATIONAL, 400 East Randolph Street #728, Chicago, 2, No rating, No ratings 41.885003, -87.61686379999999
The Bakehouse Chicago, OPERATIONAL, 3915 North Sheridan Road, Chicago, Price information not available, 4.6, No ratings 41.9531637, -87.65424759999999
Phở Loan, OPERATIONAL, 1114 West Argyle Street, Chicago, 2, 4.2, No ratings 41.9734108, -87.6583222
La Adelita Food Truck, OPERATIONAL, 1104 West Taylor Street, Chicago, Price information not available, 4, No ratings 41.8697104, -87.6545293
Drew's on Halsted, OPERATIONAL, 3201 North Halsted Street, Chicago, 2, 4.5, No ratings 41.9401276, -87.6490726
Wingstop, OPERATIONAL, 500 West Roosevelt Road Ste 3, Chicago, 2, 4.1, No ratings 41.86772169999999, -87.6397081
Windy City Cafe, OPERATIONAL, 1062 West Chicago Avenue, Chicago, 1, 4.5, No ratings 41.8964731, -87.6550338
Piazza Bella, OPERATIONAL, 2114 West Roscoe Street, Chicago, 2, 4.5, No ratings 41.94331059999999, -87.6815562
Philly's Best, OPERATIONAL, 907 West Belmont Avenue, Chicago, 1, 4.2, No ratings 41.9398369, -87.6518202
Birreria Reyes de Ocotlan, OPERATIONAL, 1322 West 18th Street, Chicago, 1, 4.2, No ratings 41.85810089999999, -87.65979
Burger King, OPERATIONAL, 2701 North Western Avenue, Chicago, 1, 3.7, No ratings 41.9306525, -87.68755209999999
The Butcher’s Tap, OPERATIONAL, 3553 North Southport Avenue, Chicago, 2, 4.3, No ratings 41.9467867, -87.663725
Salad House, OPERATIONAL, 3176 North Broadway, Chicago, 1, 4.4, No ratings 41.93984929999999, -87.64453499999999
Frankie's by the Slice, OPERATIONAL, 600 East Grand Avenue, Chicago, Price information not available, 3.2, No ratings 41.89131799999999, -87.6078524
Dunkin', CLOSED_TEMPORARILY, 2301 South King Drive, Chicago, 1, 3.7, No ratings 41.851233, -87.617034
Gigio's Pizzeria, OPERATIONAL, 4643 North Broadway, Chicago, 1, 4.4, No ratings 41.9666212, -87.65802479999999
Lili - Chicago’s East Village, OPERATIONAL, 1934 West Chicago Avenue, Chicago, Price information not available, No rating, No ratings 41.8961175, -87.6759749
O'Neil's on Wells, OPERATIONAL, 411 South Wells Street, Chicago, 1, 4.2, No ratings 41.8764494, -87.6335063
Brown Bag Seafood Co., OPERATIONAL, 3400 North Lincoln Avenue, Chicago, 2, 4.5, No ratings 41.9434143, -87.6714642
Naf Naf Grill, OPERATIONAL, 309 West Washington Street, Chicago, 1, 4.4, No ratings 41.88310389999999, -87.63559370000002
Saucy Porka Hyde Park, OPERATIONAL, 1164 East 55th Street, Chicago, 1, 4.5, No ratings 41.7952488, -87.5969977
El Rinconcito Sudamerica, OPERATIONAL, 2010 West Armitage Avenue, Chicago, 2, 4, No ratings 41.91785389999999, -87.6782463
Kie-Gol-Lanee, OPERATIONAL, 5004 North Sheridan Road, Chicago, 2, 4.7, No ratings 41.9735653, -87.6550888
Kimchi Pop 2 by Chef Son, OPERATIONAL, 4429 North Broadway, Chicago, Price information not available, 4.5, No ratings 41.9625872, -87.65536
Resi's Bierstube, OPERATIONAL, 2034 West Irving Park Road, Chicago, 2, 4.5, No ratings 41.9543768, -87.6801742
Young's Chinese Restaurant, OPERATIONAL, 3949 North Ashland Avenue, Chicago, 1, 4.6, No ratings 41.95387899999999, -87.6686892
Rosati's Pizza Of Chicago, OPERATIONAL, 1339 South Halsted Street, Chicago, 2, 3.7, No ratings 41.8642191, -87.64670129999999
Chop Shop, OPERATIONAL, 2033 West North Avenue, Chicago, 2, 4, No ratings 41.910152, -87.6787659
El Rey del barrio, OPERATIONAL, 1905 West 51st Street, Chicago, Price information not available, 5, No ratings 41.8020855, -87.6695909
MingHin Cuisine, OPERATIONAL, 2168 South Archer Avenue, Chicago, 2, 4.3, No ratings 41.8532774, -87.63484249999999
Good Taste Noodle, OPERATIONAL, 2559 South Archer Avenue, Chicago, Price information not available, 5, No ratings 41.8449904, -87.6500619
Chicago Philly Stop, OPERATIONAL, 1600 West Lake Street, Chicago, 1, 3.9, No ratings 41.88557, -87.66722999999999
Lou Malnati's Pizzeria, OPERATIONAL, 805 South State Street, Chicago, 2, 4.5, No ratings 41.87156110000001, -87.62728609999999
Sip & Savor | 53rd Street - Hyde Park, OPERATIONAL, 5301 South Hyde Park Boulevard, Chicago, 1, 4.6, No ratings 41.7995124, -87.583867
Sultan's Market, OPERATIONAL, 2057 West North Avenue, Chicago, 1, 4.5, No ratings 41.910298, -87.6796464
Jimmy John's, OPERATIONAL, 200 East Randolph Street, Chicago, 1, 3.4, No ratings 41.8850194, -87.6214992
Sarpino's Pizzeria Chicago - Lincoln Park, OPERATIONAL, 1149 West Diversey Parkway, Chicago, 2, 4.3, No ratings 41.93245779999999, -87.65782159999999
The Chicago Diner, Lakeview, OPERATIONAL, 3411 North Halsted Street, Chicago, 2, 4.7, No ratings 41.9440107, -87.6491327
McDonald's, OPERATIONAL, 70 East Garfield Boulevard, Chicago, 1, 3.2, No ratings 41.79501799999999, -87.62294
Batter & Berries, OPERATIONAL, 2748 North Lincoln Avenue, Chicago, 2, 4.5, No ratings 41.9316, -87.657725
Tamashii Ramen, OPERATIONAL, 1104 West Granville Avenue, Chicago, 2, 4.2, No ratings 41.9947117, -87.65872039999999
Han Mi Jeong, OPERATIONAL, 3335 South Halsted Street, Chicago, 2, 4.3, No ratings 41.8333484, -87.64588669999999
AJWAAH SWEETS, OPERATIONAL, 2453 West Devon Avenue, Chicago, 1, 4.5, No ratings 41.9975967, -87.69191789999999
Barwaaqo, OPERATIONAL, 6258 North Clark Street, Chicago, Price information not available, 5, No ratings 41.9961292, -87.6706765
Pinched on the River, OPERATIONAL, 443 East Illinois Street, Chicago, 1, 4.3, No ratings 41.8909044, -87.61608609999999
Toro Sushi, OPERATIONAL, 2546 North Clark Street, Chicago, 2, 4.6, No ratings 41.9289435, -87.6427259
Bacchanalia, OPERATIONAL, 2413 South Oakley Avenue, Chicago, 2, 4.6, No ratings 41.84802819999999, -87.6829453
The Field Bistro, OPERATIONAL, 1400 South Lake Shore Drive, Chicago, Price information not available, 2.1, No ratings 41.8665974, -87.61674579999999
El Paisano Tacos, OPERATIONAL, 2429 West Division Street, Chicago, 1, 4.2, No ratings 41.9028663, -87.6882476
Milt's Barbecue for the Perplexed, OPERATIONAL, 3411 North Broadway, Chicago, 2, 4.5, No ratings 41.94367579999999, -87.64481719999999
Osas African Restaurant - Nigerian cuisine, OPERATIONAL, 1027 West Wilson Avenue, Chicago, Price information not available, 4, No ratings 41.96526229999999, -87.65594349999999
Garfield Gyros, OPERATIONAL, 2020 West Garfield Boulevard, Chicago, 1, 4.4, No ratings 41.7940558, -87.67539029999999
Dunkin', OPERATIONAL, 1651 West Roosevelt Road, Chicago, 1, 3.9, No ratings 41.8664281, -87.6683211
Toppers Pizza, OPERATIONAL, 6147 North Broadway, Chicago, 2, 3.9, No ratings 41.9936871, -87.6598655
White Castle, OPERATIONAL, 2356 Roosevelt Road, Chicago, 1, 3.7, No ratings 41.8669054, -87.6857457
Sandwich Queen Express, OPERATIONAL, 1811 West Harrison Street, Chicago, 2, 3.7, No ratings 41.87386920000001, -87.6721111
FireLake Grill House and Cocktail Bar, OPERATIONAL, 221 North Columbus Drive, Chicago, Price information not available, 3.8, No ratings 41.8862313, -87.62002629999999
Fernando's Tequila Bar &. Restaurant, OPERATIONAL, 3450 North Lincoln Avenue, Chicago, 2, 4.1, No ratings 41.944574, -87.67240799999999
Sabor A Café Chicago - Colombian Steakhouse & Live Music Venue, OPERATIONAL, 2435 West Peterson Avenue, Chicago, 2, 4.3, No ratings 41.9902939, -87.69104
Cracked: the egg came first (South Loop), OPERATIONAL, 2537 South Wabash Avenue, Chicago, 1, 1.7, No ratings 41.8463923, -87.62488859999999
El Milagro Tortillas, OPERATIONAL, 1927 South Blue Island Avenue, Chicago, 1, 4.6, No ratings 41.85531649999999, -87.6630381
Rumi Middle Eastern Grill, OPERATIONAL, 1534 North Milwaukee Avenue, Chicago, 1, 4.4, No ratings 41.9093142, -87.67605189999999
Crying Onion, OPERATIONAL, 1911 South Blue Island Avenue, Chicago, 2, 4.6, No ratings 41.8556065, -87.6626392
Subway, OPERATIONAL, 2579 North Elston Avenue, Chicago, 1, 3.5, No ratings 41.9289293, -87.6815118
Yellowtail Sushi Bar & Asian Kitchen, OPERATIONAL, 3136 North Broadway, Chicago, 2, 4.4, No ratings 41.9387933, -87.6445207
Super Tacos El Guero, OPERATIONAL, 2420 South Wood Street, Chicago, Price information not available, No rating, No ratings 41.8463266, -87.67121809999999
Debonair Social Club, CLOSED_TEMPORARILY, 1575 North Milwaukee Avenue, Chicago, 2, 3.8, No ratings 41.9102287, -87.676834
Blue Frog Thai Noodle & Rice, OPERATIONAL, 2951 South Archer Avenue, Chicago, 1, 4.2, No ratings 41.8406802, -87.65938539999999
Gorkha Kitchen Indian and Nepalese Restuarant, OPERATIONAL, 434 West Diversey Parkway, Chicago, 2, 4.6, No ratings 41.93300410000001, -87.64079770000001
Taqueria la placita #2, OPERATIONAL, 1856 West 35th Street, Chicago, 2, 4.8, No ratings 41.8305826, -87.67258
Seafood Junction Wentworth, OPERATIONAL, 5401 South Wentworth Avenue #5w, Chicago, 3, 4.5, No ratings 41.7958314, -87.6302066
MK NOODLE PHO, OPERATIONAL, 3341 North Lincoln Avenue, Chicago, Price information not available, 4.8, No ratings 41.9427285, -87.6705439
Ahjoomah's Apron Korean Restaurant, OPERATIONAL, 218 West Cermak Road, Chicago, 2, 4.3, No ratings 41.8530159, -87.6326065
Wingstop, OPERATIONAL, 3032 South Halsted Street Ste 106, Chicago, 2, 3.3, No ratings 41.83874610000001, -87.6466889
MIKAMI IZAKAYA & RAMEN, OPERATIONAL, 1400 South Michigan Avenue, Chicago, 2, 4.7, No ratings 41.863874, -87.62446
Bacci Pizzeria United Center (Corner of Madison & Damen), OPERATIONAL, 1960 West Madison Street, Chicago, 1, 4.1, No ratings 41.88147490000001, -87.6764938
Tony’s Burrito Méx, OPERATIONAL, 1957 West Belmont Avenue, Chicago, 1, 4.6, No ratings 41.9394771, -87.6782003
Furama Restaurant, OPERATIONAL, 4936 North Broadway, Chicago, 2, 4.3, No ratings 41.9724644, -87.66023009999999
Wingstop, OPERATIONAL, 2344 West Cermak Road, Chicago, 2, 3.6, No ratings 41.8523931, -87.6850146
Great Buffet, OPERATIONAL, 2531 West Cermak Road, Chicago, 2, 3.3, No ratings 41.8507291, -87.6890492
